OBJECTID,REPORT_TAKEN_DATE,YEAR,BLOCK_ADDRESS,DISTRICT,PSA,FIELD_CONTACT_TYPE,REASON_FOR_STOP,DATA_TYPE,RACE,ETHNICITY,SEX,AGE
2900,3/11/2014 1:46,2014,3500 BLOCK OF MARTIN LUTHER KING JR AVE SE,7D,707,Vehicle Stop,Moving Violation,Person,Black,Not Hispanic Or Latino,Male,22
2901,3/11/2014 1:53,2014,3500 BLOCK OF MARTIN LUTHER KING JR AVE SE,7D,707,Vehicle Stop,Moving Violation,Person,Black,Unknown,Male,24
2902,3/11/2014 2:46,2014,4600 BLOCK OF LIVINGSTON RD SE,7D,708,Pedestrian Stop,Community Policing,Person,Black,Not Hispanic Or Latino,Male,42
2903,1/29/2014 23:13,2014,6200 BLOCK OF GEORGIA AVE NW,4D,402,Pedestrian Stop,Community Policing,Person,Black,Unknown,Male,44
2904,1/30/2014 1:18,2014,4600 BLOCK OF CHESAPEAKE ST NW,2D,202,Vehicle Stop,Suspicious Activity,Person,Black,Not Hispanic Or Latino,Female,33
2905,1/30/2014 4:57,2014,4200 BLOCK OF MARTIN LUTHER KING JR AVE SW,7D,708,Vehicle Stop,Equipment Violation,Person,Black,Not Hispanic Or Latino,Male,20
2906,1/30/2014 5:08,2014,B / O FORRESTER ST SW,,,Vehicle Stop,Equipment Violation,Person,Black,Not Hispanic Or Latino,Male,48
2907,1/30/2014 7:19,2014,900 BLOCK OF H ST NE,1D,104,Pedestrian Stop,Suspicious Activity,Person,Black,Not Hispanic Or Latino,Male,22
2908,1/30/2014 7:34,2014,1200 BLK H ST NE,,,Vehicle Stop,Moving Violation,Person,Black,Not Hispanic Or Latino,Male,37
2909,1/30/2014 7:45,2014,800 BLK H ST NE,5D,,Vehicle Stop,Moving Violation,Person,Black,Not Hispanic Or Latino,Female,24
2910,1/30/2014 7:53,2014,500 BLK OF 10TH ST NE,,,Vehicle Stop,Moving Violation,Person,Black,Not Hispanic Or Latino,Male,46
2911,1/30/2014 21:24,2014,400 BLOCK OF BRANDYWINE ST SE,7D,706,Pedestrian Stop,Call For Service,Person,Black,Not Hispanic Or Latino,Male,23
2912,1/30/2014 22:01,2014,300 BLOCK OF ANACOSTIA RD SE,6D,603,Pedestrian Stop,Call For Service,Person,Black,Unknown,Male,32
2913,1/31/2014 3:05,2014,900 BLOCK OF BLADENSBURG RD NE,5D,506,Pedestrian Stop,Call For Service,Person,Black,Not Hispanic Or Latino,Male,30
2914,1/31/2014 3:17,2014,"1300 BLOCK OF 6TH STREET, NE",,,Vehicle Stop,Suspicious Vehicles,Person,Black,Not Hispanic Or Latino,Male,42
2915,1/31/2014 3:19,2014,1300 BLOCK OF MORSE ST NE,,,Vehicle Stop,Moving Violation,Person,Black,Not Hispanic Or Latino,Female,28
2916,1/31/2014 3:22,2014,1300 BLOCK OF MORSE ST NE,,,Vehicle Stop,Moving Violation,Person,Black,Not Hispanic Or Latino,Female,37
2917,1/31/2014 4:03,2014,UNIT BLOCK OF & ASPEN ST NW,,,Vehicle Stop,Moving Violation,Person,Black,Not Hispanic Or Latino,Male,30
2918,1/31/2014 4:09,2014,1400 BLOCK OF SHERIDAN ST NW,4D,402,Vehicle Stop,Moving Violation,Person,White,Not Hispanic Or Latino,Female,51
2919,1/31/2014 5:32,2014,600 BLOCK OF L ST NW,3D,308,Pedestrian Stop,Suspicious Persons,Person,Black,Not Hispanic Or Latino,Male,24
2920,1/31/2014 6:55,2014,700 BLK OF H ST NE,,,Vehicle Stop,Moving Violation,Person,Black,Not Hispanic Or Latino,Female,25
2921,1/31/2014 7:29,2014,UNIT BLOCK OF I ST SW,1D,106,Vehicle Stop,Community Policing,Person,Black,Not Hispanic Or Latino,Female,29
2922,1/31/2014 7:35,2014,,,,Vehicle Stop,Moving Violation,Person,Black,Not Hispanic Or Latino,Female,29
2923,1/31/2014 13:37,2014,1100 BLK OF K ST NE,,,Vehicle Stop,Moving Violation,Person,Black,Not Hispanic Or Latino,Female,33
2924,1/31/2014 13:43,2014,1000 BLOCK OF H ST NE,1D,108,Vehicle Stop,Moving Violation,Person,Black,Not Hispanic Or Latino,Male,43
2925,1/31/2014 13:47,2014,1000 BLK OF H ST NE,,,Vehicle Stop,Moving Violation,Person,Black,Not Hispanic Or Latino,Male,43
2926,1/31/2014 13:50,2014,400 BLOCK OF K ST NE,1D,104,Vehicle Stop,Moving Violation,Person,Black,Unknown,Male,29
2927,1/31/2014 13:52,2014,UNIT BLK OF K ST NW,,,Vehicle Stop,Moving Violation,Person,Black,Not Hispanic Or Latino,Male,44
2928,1/31/2014 14:02,2014,1100 BLK OF H ST NE,,,Vehicle Stop,Moving Violation,Person,Black,Not Hispanic Or Latino,Male,45
2929,1/31/2014 14:09,2014,1100 BLK OF H ST NE,,,Vehicle Stop,Moving Violation,Person,Black,Not Hispanic Or Latino,Female,30
2930,1/31/2014 14:09,2014,900 BLOCK OF K ST NE,1D,104,Vehicle Stop,Moving Violation,Person,White,Not Hispanic Or Latino,Female,28
2931,1/31/2014 17:20,2014,1200 BLOCK OF HOWISON PL SW,4D,405,Pedestrian Stop,Call For Service,Person,Black,Not Hispanic Or Latino,Male,25
2932,1/31/2014 17:34,2014,1700 BLOCK OF 8TH ST NW,3D,308,Pedestrian Stop,Community Policing,Person,Black,Not Hispanic Or Latino,Male,32
2933,1/31/2014 20:36,2014,1300 BLOCK OF SPRING RD NW,4D,409,Bicycle Stop,Call For Service,Person,Unknown,Hispanic Or Latino,Male,23
2934,2/1/2014 5:11,2014,700 BLOCK OF FLORIDA AVE NE,5D,506,Vehicle Stop,Moving Violation,Person,Black,Not Hispanic Or Latino,Male,29
2935,2/1/2014 9:12,2014,500 BLOCK OF SOUTH CAPTIOL ST,,,Vehicle Stop,Moving Violation,Person,Black,Unknown,Male,33
2936,2/1/2014 9:29,2014,1300 BLOCK OF H ST NE,1D,104,Vehicle Stop,Moving Violation,Person,Black,Not Hispanic Or Latino,Female,33
2937,2/1/2014 14:10,2014,600 BLOCK OF 17TH ST SE,1D,107,Vehicle Stop,Equipment Violation,Person,Black,Not Hispanic Or Latino,Male,35
2938,2/1/2014 14:18,2014,UNIT BLOCK OF & H ST NE,,,Vehicle Stop,Moving Violation,Person,Black,Not Hispanic Or Latino,Male,54
2939,2/1/2014 16:14,2014,1600 BLOCK OF WILLOWWOOD CT,,,Vehicle Stop,Moving Violation,Person,Black,Unknown,Male,32
2940,2/1/2014 17:09,2014,3300 BLOCK OF MARTIN LUTHER KING JR AVE SE,7D,707,Vehicle Stop,Moving Violation,Person,Black,Unknown,Female,27
2941,2/1/2014 21:08,2014,4000 BLOCK OF MINNESOTA AVE NE,6D,602,Pedestrian Stop,Community Policing,Person,Black,Not Hispanic Or Latino,Male,44
2942,2/1/2014 21:11,2014,4000 BLOCK OF MINNESOTA AVE NE,6D,602,Pedestrian Stop,Community Policing,Person,Black,Not Hispanic Or Latino,Male,50
2943,2/1/2014 21:14,2014,900 BLOCK OF H ST NE,1D,104,Pedestrian Stop,Community Policing,Person,Black,Unknown,Male,36
2944,2/1/2014 21:45,2014,1200 BLOCK OF BRENTWOOD RD NE,5D,505,Pedestrian Stop,Community Policing,Person,Black,Not Hispanic Or Latino,Male,30
2945,2/1/2014 21:45,2014,1200 BLOCK OF BRENTWOOD RD NE,5D,505,Pedestrian Stop,Community Policing,Person,Black,Unknown,Male,30
2946,2/1/2014 23:07,2014,1500 BLOCK OF ALABAMA AVE SE,7D,704,Pedestrian Stop,Suspicious Activity,Person,Black,Not Hispanic Or Latino,Male,18
2947,2/1/2014 23:09,2014,1500 BLOCK OF ALABAMA AVE SE,7D,704,Pedestrian Stop,Suspicious Activity,Person,Black,Not Hispanic Or Latino,Male,18
2948,2/1/2014 23:11,2014,1500 BLOCK OF ALABAMA AVE SE,7D,704,Pedestrian Stop,Suspicious Activity,Person,Black,Unknown,Male,Juvenile
2949,2/2/2014 1:31,2014,1200 BLK H ST NE,,,Pedestrian Stop,Community Policing,Person,White,Not Hispanic Or Latino,Male,45
2950,2/2/2014 2:24,2014,1300 BLOCK OF SARATOGA AVE NE,5D,505,Pedestrian Stop,Community Policing,Person,Black,Unknown,Male,24
2951,2/2/2014 3:47,2014,1400 BLOCK OF SHERIDAN ST NW,4D,402,Vehicle Stop,Community Policing,Person,Black,Unknown,Female,41
2952,2/2/2014 4:13,2014,1400 BLOCK OF NEW JERSEY AVE NW,3D,308,Pedestrian Stop,Suspicious Persons,Person,Black,Not Hispanic Or Latino,Male,23
2953,2/2/2014 6:19,2014,1800 BLOCK OF GOODHOPE ROAD SE,,,Pedestrian Stop,Call For Service,Person,Black,Unknown,Female,56
2954,2/2/2014 13:57,2014,1600 BLOCK OF GOOD HOPE RD SE,7D,701,Pedestrian Stop,Suspicious Persons,Person,Black,Not Hispanic Or Latino,Male,30
2955,2/2/2014 19:04,2014,4600 BLOCK OF MARTIN LUTHER KING JR AVE SW,7D,708,Vehicle Stop,Moving Violation,Person,Black,Not Hispanic Or Latino,Male,20
2956,2/2/2014 22:32,2014,1900 BLOCK OF E ST SE,3D,304,Pedestrian Stop,Call For Service,Person,Black,Not Hispanic Or Latino,Male,21
2957,2/3/2014 0:07,2014,900 BLOCK OF 5TH ST NE,1D,104,Vehicle Stop,Moving Violation,Person,Black,Not Hispanic Or Latino,Male,30
2958,2/3/2014 6:49,2014,400 BLOCK OF K ST NE,1D,104,Vehicle Stop,Community Policing,Person,Black,Unknown,Male,29
2959,2/3/2014 6:59,2014,UNIT BLOCK OF K ST NE,1D,103,Vehicle Stop,Moving Violation,Person,Black,Unknown,Male,42
2960,2/3/2014 7:06,2014,800 BLOCK OF H ST NE,1D,104,Pedestrian Stop,Community Policing,Person,Black,Not Hispanic Or Latino,Male,69
2961,2/4/2014 6:13,2014,4500 BLOCK OF WISCONSIN AVE NW,2D,202,Pedestrian Stop,Call For Service,Person,Black,Unknown,Male,36
2962,2/4/2014 6:17,2014,6800 BLOCK OF N STUART RD,,,Vehicle Stop,Moving Violation,Person,White,Unknown,Male,27
2963,2/4/2014 13:21,2014,1200 BLOCK OF O ST NW,3D,307,Pedestrian Stop,Community Policing,Person,Black,Not Hispanic Or Latino,Male,50
2964,2/4/2014 16:34,2014,2200 BLOCK OF MOUNT VIEW PL SE,7D,701,Pedestrian Stop,Suspicious Persons,Person,Black,Not Hispanic Or Latino,Male,19
2965,2/4/2014 19:32,2014,14TH ST NE,1D,104,Pedestrian Stop,Suspicious Persons,Person,Black,Unknown,Female,37
2966,2/4/2014 19:38,2014,14TH ST NE,1D,104,Pedestrian Stop,Suspicious Persons,Person,Black,Not Hispanic Or Latino,Female,41
